Engineering,Fall,2018
Dept,Number,Section,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CHE,396,1,Senior Design I,43,14,2,0,0,0,0,0,0,0,Bilgin
ME,428,1,Numerical Methods in ME,8,12,17,1,0,0,0,0,0,1,Aggarwal
ENGR,100,1,Engr Orientation - Freshmen,0,0,0,0,0,53,0,409,27,8,Narubin
ENGR,194,1,Engineering Success Initiative,39,0,0,0,0,0,0,0,0,0,Darabi
CS,491,4,Virtual and Augmented Reality,16,18,7,0,1,0,0,0,0,2,Johnson
ECE,396,2,Senior Design I,86,14,0,0,0,0,1,0,0,0,Revelo Alonso
CS,111,2,Program Design I,41,34,10,4,4,6,0,0,0,2,Hayes
ECE,533,1,Advanced Computer Comm,11,12,4,0,0,0,0,0,0,0,Seferoglu
CS,109,1,C/C++ Programming,101,63,44,22,20,1,2,0,0,25,Reckinger
ME,210,1,Engineering Dynamics,31,29,31,4,2,3,0,0,0,3,Lilley
ME,595,1,Mechanical Engineering Seminar,0,0,0,0,0,0,2,193,6,2,Scott
CME,494,5,Undergrad Thesis I,14,0,0,0,0,0,0,0,0,0,Schulenberg
CME,539,1,Elastic Stability,11,6,0,0,0,0,0,0,0,0,Chi
CS,411,1,Artificial Intelligence I,71,19,4,6,0,0,0,0,0,4,Gmytrasiewicz
CS,450,1,Intro to Networking,9,35,6,0,1,0,0,0,0,2,Vamanan
ME,250,1,Intro to Engineering Design,9,24,6,2,1,0,0,0,0,0,Abiade
BIOE,562,1,Biomedical implants,22,0,0,0,0,0,0,0,0,0,Mathew
ME,412,1,Dynamic Systems Analysis I,14,9,6,2,0,0,0,0,0,0,Berniker
CME,322,1,Environmental Engineering,6,15,13,5,1,1,0,0,0,0,Khodadoust
CS,341,1,Programming Language Concepts,7,5,1,0,1,2,0,0,0,0,Grad Asst
CS,474,2,Obj-Oriented Langs & Envs,0,0,0,0,0,0,36,0,0,0,Deitz
IE,365,1,Work Productivity Analysis,13,18,4,0,0,0,0,0,0,1,Williams
CHE,301,1,Chem Engr Thermodynamics,10,21,7,0,0,0,0,0,0,0,Caracotsios
IE,594,2,Data Science 1,40,8,3,0,0,0,0,0,0,1,Sharabiani
CS,474,1,Obj-Oriented Langs & Envs,20,14,10,3,0,0,0,0,0,3,Buy
ECE,521,1,Computation Electromagnetics,9,1,0,0,0,0,0,0,0,0,Erricolo
IE,441,1,Ergonomics & Human Factors,15,11,2,0,0,0,0,0,0,0,Williams
BIOE,530,1,Stats & Machine Learning,16,9,1,0,1,0,0,0,0,1,Dai
ME,250,3,Intro to Engineering Design,32,8,2,0,2,0,0,0,0,0,Szwalek
CS,594,2,Artificial Intelligence Safety,9,1,0,0,0,0,0,0,0,0,Ziebart
CS,361,1,Systems Programming,45,23,34,11,3,28,0,0,0,4,Kanich
ECE,397,1,Senior Design II,11,0,0,0,0,0,0,0,0,0,Metlushko
BIOE,250,1,Problems in Bioengineering,24,2,4,3,1,4,0,0,0,2,Hetling
BIOE,480,1,Intro to Bioinformatics,5,11,3,2,2,0,0,0,0,2,Liang
CHE,595,1,Advances In Chem Engr Research,24,0,0,0,0,0,0,0,0,0,Sharma
ENER,553,1,Sustainable Energy,20,3,0,0,0,0,0,0,0,0,Ryan
ECE,566,1,Parallel Processing,9,4,1,0,0,0,0,0,0,0,Kshemkalyani
CS,461,1,Operating Systems,8,5,8,2,1,0,0,0,0,7,Wu
